,Match Number,Stadium,Date,Time,Home Team,Away Team,Innings,Batting Team,Over,Runs,Bowler,Batsmen,Commentary,Result
0,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,19.6,1,Josh Little , MS Dhoni,"Short of good length ball, pitching outside leg stump, MS Dhoni plays an aggressive pull shot on the back foot for a single",Gujarat Titans Won by 5 Wickets
1,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,19.5,0,Josh Little , MS Dhoni,"Good length ball, pitching outside off stump, MS Dhoni plays an aggressive lofted on drive on the front foot and is beaten",Gujarat Titans Won by 5 Wickets
2,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,19.4,4,Josh Little , MS Dhoni,"MSD taking the bowler on! good length ball, pitching on leg stump, MS Dhoni gets good connection on that one as well, flicks it behind square on the leg for a boundary. There is no protection there. Josh Little feeling the heat!",Gujarat Titans Won by 5 Wickets
3,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,19.3,6,Josh Little , MS Dhoni,"INTO THE ORBIT! good length ball, pitching on leg stump, a little too full from the bowler, MS Dhoni winds up for the slog hit across and connects wonderfully. A huge six towards the deep square leg region. Thala is still not done!",Gujarat Titans Won by 5 Wickets
4,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,19.2,1 LB,Josh Little , Mitchell Santner,"Full toss ball, outside leg stump, Mitchell Santner plays an aggressive front foot flick, 1 leg bye(s) gets added to the extras",Gujarat Titans Won by 5 Wickets
5,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,19.1,1,Josh Little , MS Dhoni,"Good length ball, pitching outside off stump, MS Dhoni plays an aggressive cover drive on the front foot for a single",Gujarat Titans Won by 5 Wickets
6,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,18.6,1,Mohammad Shami , MS Dhoni,"Short of good length ball, pitching outside off stump, MS Dhoni plays an aggressive pull shot on the front foot for a single",Gujarat Titans Won by 5 Wickets
7,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,18.5,1,Mohammad Shami , Mitchell Santner,"Good length ball, pitching outside off stump, Mitchell Santner plays an aggressive on drive on the front foot for a single",Gujarat Titans Won by 5 Wickets
8,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,18.4,0,Mohammad Shami , Mitchell Santner,"Good length ball, pitching outside off stump, Mitchell Santner plays a defensive forward push, no run",Gujarat Titans Won by 5 Wickets
9,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,18.3,W,Mohammad Shami , Shivam Dube,"SHORT BALL TACTIC WORKS! short of good length ball, pitching on leg stump, Shivam Dube mistimes the pull which goes towards deep square leg where there is protection. Rashid Khan gets underneath that one and takes it comfortably! WICKET Shivam Dube c Rashid Khan b Mohammad Shami (Chennai Super Kings 163 Runs for 7 wickets)",Gujarat Titans Won by 5 Wickets
10,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,18.2,6,Mohammad Shami , Shivam Dube,"CONNECTS THIS TIME! FULL MONTY!  short of good length ball, pitching outside leg stump, Shivam Dube gets hold of this one, pulls it powerfully towards deep mid-wicket for a maximum! That was a six from the moment it left his bat!",Gujarat Titans Won by 5 Wickets
11,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,18.1,2,Mohammad Shami , Shivam Dube,"DUBE SURVIVES! short of good length ball, pitching on leg stump, Shivam Dube gets a top edge while looking to pull it across. A valiant effort from Saha goes in vain. ",Gujarat Titans Won by 5 Wickets
12,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,17.6,1,Alzarri Joseph , Shivam Dube,"Yorker ball, pitching on leg stump, Shivam Dube plays a defensive forward push for a single",Gujarat Titans Won by 5 Wickets
13,MATCH 1,"Narendra Modi Stadium, Ahmedabad",31 MAR 2023,7:30 PM IST,GT,CSK,1,CSK Innings,17.5,1,Alzarri Joseph , MS Dhoni,"Short length ball, pitching outside off stump, MS Dhoni plays an aggressive pull shot on the back foot for a single",Gujarat Titans Won by 5 Wickets
